it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
  339787  1.50000000E+01  3.69406431E-05   4.91953780E-03  1.77136761E-03  2.29709780E-03  1.84770232E-03  6.90599524E-03  0.00000000E+00  1.03780792E+02  3.71778176E+00  2.25624110E-01  1.07523053E-05  1.22644728E+05  2.07402414E+05  4.33160219E-05  1.64741486E+00  2.92954424E+01  5.09522135E+00  3.02186706E-01  3.93855138E-01  6.91653396E+01  1.18428294E+06  5.72244389E-01 -6.29432990E-03 -1.96297390E-02   0.00000000E+00  2.34375000E-01  4.33593750E-01  3.32031250E-01        0      30     222     680 |   0.00E+00  0.00E+00  3.14E+04  1.16E+02  6.42E+03  8.92E+00
  351090  1.55000000E+01  5.31327477E-05   4.96982353E-03  1.15763490E-03  2.43983639E-03  1.68307831E-03  6.35281264E-03  0.00000000E+00  8.10249114E+01  3.09168472E+00  1.49694642E-01  1.05941012E-05  1.17420933E+05  1.71398952E+05  3.11110327E-05  1.61373750E+00  2.56222664E+01  5.19437943E+00  2.98386210E-01  4.02038420E-01  4.09242692E+01  9.15251242E+05  4.97549684E-01 -3.17507350E-02 -2.28545354E-02   1.25000000E-01  3.28125000E-01  3.47656250E-01  1.99218750E-01        4      42     178     408 |   0.00E+00  0.00E+00  2.70E+04  7.90E+01  3.52E+03  4.40E+00
  360498  1.60000000E+01  4.91270139E-05   5.89775120E-03  1.09895275E-03  3.63667497E-03  2.35581905E-03  3.60364247E-03  0.00000000E+00  9.42100777E+01  2.85004814E+00  1.18638479E-01  1.18169123E-05  1.00310801E+05  1.41771175E+05  3.20825354E-05  1.55536181E+00  2.83141799E+01  6.02634721E+00  3.03503008E-01  3.90241066E-01  2.74593785E+01  5.18046973E+05  2.68236475E-01 -7.09719877E-03 -1.92484352E-02   6.25000000E-02  2.89062500E-01  4.00390625E-01  2.48046875E-01        2      37     205     508 |   0.00E+00  0.00E+00  3.35E+04  9.40E+01  3.65E+03  4.06E+00
  377221  1.65000000E+01  4.08432244E-05   6.39817967E-03  9.95612731E-04  3.69982636E-03  1.86300516E-03  3.40467288E-03  0.00000000E+00  1.28872793E+02  2.81892616E+00  1.27098340E-01  1.27534661E-05  9.28880881E+04  1.37695391E+05  2.78411321E-05  1.50889041E+00  2.89995457E+01  7.24938016E+00  2.77897915E-01  4.46692372E-01  2.14867855E+01  3.98130204E+05  2.21337592E-01 -7.71635295E-03 -2.09061076E-02   0.00000000E+00  2.42187500E-01  4.64843750E-01  2.92968750E-01        0      31     238     600 |   0.00E+00  0.00E+00  3.42E+04  1.09E+02  4.98E+03  4.85E+00
  390520  1.70000000E+01  5.18551079E-05   5.53471731E-03  1.20246304E-03  2.81328796E-03  1.76200785E-03  9.32682684E-03  0.00000000E+00  8.23174809E+01  2.78687772E+00  2.46710517E-01  1.28218978E-05  1.23591845E+05  1.83653556E+05  2.91369682E-05  1.57963040E+00  2.77993991E+01  5.63248736E+00  2.97453946E-01  4.04254635E-01  4.92977676E+01  1.04870094E+06  6.36597327E-01  8.30768291E-03 -2.76091222E-02   0.00000000E+00  2.89062500E-01  4.74609375E-01  2.36328125E-01        0      37     243     484 |   0.00E+00  0.00E+00  2.93E+04  9.55E+01  4.02E+03  3.35E+00
  401131  1.75000000E+01  3.67898472E-05   4.44975888E-03  1.49906881E-03  1.67608150E-03  1.60485115E-03  8.34998744E-03  0.00000000E+00  8.27546081E+01  3.53145928E+00  1.38451580E-01  1.00421610E-05  1.25824314E+05  2.10417303E+05  3.84185907E-05  1.61077323E+00  2.91129062E+01  5.83330133E+00  2.99994035E-01  3.99028223E-01  6.79486913E+01  1.22463695E+06  6.45930756E-01 -3.38465315E-02 -2.71268857E-02   0.00000000E+00  2.42187500E-01  4.70703125E-01  2.87109375E-01        0      31     241     588 |   0.00E+00  0.00E+00  3.37E+04  1.08E+02  5.55E+03  3.86E+00
  419167  1.80000000E+01  5.32559733E-05   5.85459660E-03  2.73919347E-04  1.79654936E-03  1.16454820E-03  2.96245242E-03  0.00000000E+00  9.25730318E+01  3.03042484E+00  1.57783223E-01  1.12592924E-05  9.63068902E+04  1.45421444E+05  2.77015560E-05  1.56029762E+00  2.82146094E+01  6.58114655E+00  2.98539080E-01  4.01771694E-01  2.30745364E+01  4.40578730E+05  2.41636345E-01 -1.38281889E-02 -2.19576777E-02   0.00000000E+00  2.89062500E-01  4.53125000E-01  2.57812500E-01        0      37     232     528 |   0.00E+00  0.00E+00  2.77E+04  9.96E+01  4.32E+03  2.40E+00
  430367  1.85000000E+01  3.28884707E-05   4.39700775E-03  9.14820405E-04  1.35716129E-03  1.09765023E-03  3.90941866E-03  0.00000000E+00  1.19683055E+02  3.22139008E+00  2.42338819E-01  8.00240763E-06  1.07362205E+05  1.60574302E+05  3.07451965E-05  1.62671081E+00  2.89401652E+01  6.45054511E+00  2.97606993E-01  4.04482489E-01  3.50933103E+01  6.21574095E+05  2.49015207E-01  3.41669757E-03 -1.45099814E-02   0.00000000E+00  3.04687500E-01  4.10156250E-01  2.85156250E-01        0      39     210     584 |   0.00E+00  0.00E+00  3.49E+04  1.04E+02  5.81E+03  2.42E+00
  442266  1.90000000E+01  5.83314359E-05   4.50223340E-03  1.01279834E-03  1.61554251E-03  1.26108133E-03  5.26877402E-03  0.00000000E+00  8.95281071E+01  3.18002087E+00  2.64671288E-01  9.05556810E-06  1.15696702E+05  1.79676145E+05  3.19792795E-05  1.64831250E+00  2.92429257E+01  6.38078040E+00  2.97941061E-01  4.03397532E-01  4.54701943E+01  8.40998312E+05  3.84339145E-01 -7.62031878E-04 -1.66056115E-02   0.00000000E+00  2.73437500E-01  4.60937500E-01  2.65625000E-01        0      35     236     544 |   0.00E+00  0.00E+00  3.21E+04  1.02E+02  3.48E+03  9.66E-01
  452197  1.95000000E+01  4.50656764E-05   5.37106273E-03  1.03455928E-03  3.07596453E-03  1.90496966E-03  3.10082275E-03  0.00000000E+00  1.04107682E+02  3.29896858E+00  2.26974146E-01  1.08114954E-05  9.65505301E+04  1.41724194E+05  2.95812438E-05  1.53855553E+00  3.08921693E+01  7.20832000E+00  2.89816698E-01  4.20225940E-01  3.15257872E+01  5.31581436E+05  2.75251437E-01  1.02988285E-02 -1.77987195E-02   0.00000000E+00  3.28125000E-01  4.21875000E-01  2.50000000E-01        0      42     216     512 |   0.00E+00  0.00E+00  2.83E+04  9.62E+01  4.83E+03  6.70E-01
  465146  2.00000000E+01  0.00000000E+00   6.39212293E-03  1.63044657E-03  4.70135766E-03  2.96484064E-03  4.17895340E-03  0.00000000E+00  1.06254713E+02  2.90616983E+00  2.39385565E-01  1.37148362E-05  1.00042749E+05  1.53710844E+05  2.93006263E-05  1.54040807E+00  2.89754419E+01  6.53528436E+00  2.92270665E-01  4.15447164E-01  2.78065125E+01  5.09213966E+05  2.69708088E-01 -4.50988741E-03 -2.14267468E-02   0.00000000E+00  4.60937500E-01  3.30078125E-01  2.08984375E-01        0      59     169     428 |   0.00E+00  0.00E+00  2.69E+04  8.20E+01  1.14E+19  0.00E+00
