it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
   81227  1.50000000E+01  1.76395090E-04   5.16986044E-03  7.29349360E-04 -6.41700338E-05  6.60970568E-04  2.94257704E-03  0.00000000E+00  8.08236492E+01  3.00034735E+00  3.01184666E-02  1.05663765E-05  9.74741906E+04  9.74796984E+04  2.26903195E-05  1.57780473E+00  2.45944723E+01  5.46142942E+00  2.86188235E-01  4.27993653E-01  2.15572150E+01  4.57891993E+05  2.27817650E-01  7.58920834E-03 -2.50162946E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.46E+04  1.00E+01  1.47E+02  2.05E-01
   83688  1.55000000E+01  1.60229593E-04   5.36115360E-03  7.84640432E-04 -6.02501137E-05  5.40360080E-04  3.72756766E-03  0.00000000E+00  8.35378661E+01  2.71947121E+00  2.65549365E-02  1.18689937E-05  9.84834620E+04  9.85719133E+04  2.13582309E-05  1.49477216E+00  2.31499129E+01  4.26565648E+00  2.95750522E-01  4.05241860E-01  2.34798211E+01  5.97101884E+05  4.10819458E-01 -1.08095055E-02 -2.77897327E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.28E+04  1.00E+01  1.22E+02  1.52E-01
   87381  1.60000000E+01  1.39919295E-04   3.13196250E-03  1.55332597E-03 -1.59962963E-05  1.34328831E-03  6.30825047E-03  0.00000000E+00  8.49202984E+01  3.78040807E+00 -6.50019580E-03  6.28849913E-06  1.14984243E+05  1.14977100E+05  3.00726278E-05  1.53557159E+00  2.66612424E+01  5.08256443E+00  2.98610853E-01  4.00441533E-01  4.09864967E+01  9.20687952E+05  5.32586567E-01  2.38042112E-02 -1.81118369E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.33E+04  1.00E+01  1.96E+02  2.18E-01
   89961  1.65000000E+01  3.04116372E-04   4.55419469E-03  9.86095650E-04 -9.49660495E-05  7.47505503E-04  2.83125944E-03  0.00000000E+00  9.93326015E+01  3.42641402E+00  2.88533267E-02  9.20856339E-06  9.15495597E+04  9.15744438E+04  2.69887183E-05  1.50331418E+00  2.65018810E+01  6.35767531E+00  2.91117682E-01  4.16082444E-01  2.00843001E+01  4.39497888E+05  2.93879729E-01 -4.93542605E-03 -2.39461243E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.92E+04  1.00E+01  7.22E+01  7.02E-02
   92740  1.70000000E+01  2.54001270E-04   4.37581936E-03  1.06152896E-03 -4.42981393E-05  8.55412078E-04  3.57174169E-03  0.00000000E+00  7.30452545E+01  3.12512756E+00 -1.16470793E-02  8.58443886E-06  9.87402089E+04  9.87463726E+04  2.97671800E-05  1.57971653E+00  2.45324958E+01  5.83977506E+00  2.96540690E-01  4.05020519E-01  2.02548703E+01  4.62668403E+05  3.03796267E-01  1.85583936E-03 -2.13768900E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.83E+04  1.00E+01  8.90E+01  7.42E-02
   95005  1.75000000E+01  2.57577980E-04   4.35478910E-03  8.69784309E-04 -4.70043435E-05  7.96471550E-04  4.19165358E-03  0.00000000E+00  5.31323260E+01  2.52695419E+00  3.79712340E-04  9.01937501E-06  1.06023080E+05  1.06386713E+05  3.16583581E-05  1.64998623E+00  2.06921096E+01  4.37054240E+00  2.99764861E-01  3.98840348E-01  1.86665332E+01  5.04686554E+05  2.92298983E-01 -3.35589807E-03 -2.30256752E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.12E+04  1.00E+01  7.97E+01  5.53E-02
   97315  1.80000000E+01  1.70765257E-04   5.29451310E-03  6.07337154E-04 -1.29915865E-05  5.46207892E-04  2.43487030E-03  0.00000000E+00  6.08182389E+01  2.28717152E+00  9.35760579E-03  1.08067582E-05  9.30037552E+04  9.30814322E+04  2.91095435E-05  1.54098903E+00  1.85574962E+01  3.94083456E+00  3.04421201E-01  3.89163756E-01  1.17012109E+01  3.57895420E+05  2.13920156E-01 -5.22668870E-03 -2.58741284E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.97E+04  1.00E+01  9.45E+01  5.25E-02
  100514  1.85000000E+01  2.10641940E-04   3.95682804E-03  9.82555148E-04  3.02087571E-05  7.74223912E-04  4.48043502E-03  0.00000000E+00  7.04513964E+01  2.59042126E+00  4.34900083E-03  8.24284258E-06  1.08884809E+05  1.08879162E+05  2.93824939E-05  1.60968878E+00  2.06433301E+01  3.73194521E+00  3.05950248E-01  3.85711813E-01  2.23726291E+01  6.68283421E+05  4.04355199E-01 -1.43161986E-02 -2.20674124E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.47E+04  1.00E+01  8.76E+01  3.65E-02
  102901  1.90000000E+01  2.46677122E-04   4.14615649E-03  1.05815654E-03  1.09506425E-04  7.84064969E-04  3.37896797E-03  0.00000000E+00  5.68178362E+01  2.60347388E+00 -3.86903241E-02  8.47710595E-06  1.01070510E+05  1.01007064E+05  3.11031748E-05  1.58970686E+00  1.98899224E+01  3.66633492E+00  3.06733188E-01  3.83657580E-01  1.55517091E+01  4.90088043E+05  3.20518205E-01 -1.42259979E-02 -2.23045523E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.75E+04  1.00E+01  9.44E+01  2.62E-02
  106973  1.95000000E+01  1.25468849E-04   4.32200860E-03  1.09224651E-03  9.69284212E-05  9.31657119E-04  4.25117444E-03  0.00000000E+00  7.54648601E+01  3.03059754E+00 -1.67548945E-02  9.05442289E-06  1.06649023E+05  1.06655869E+05  3.15033015E-05  1.57683330E+00  2.08457949E+01  3.98191296E+00  3.06902591E-01  3.83093228E-01  2.11320947E+01  6.31502294E+05  3.90006206E-01  2.62787520E-03 -2.44827379E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  2.31E+04  1.00E+01  2.21E+02  3.07E-02
  109418  2.00000000E+01  0.00000000E+00   5.17262761E-03  8.77991109E-04  2.08636326E-04  6.63013943E-04  2.77465597E-03  0.00000000E+00  8.06111917E+01  2.93163647E+00 -3.62463946E-02  1.08633770E-05  9.43666011E+04  9.44148344E+04  2.52575369E-05  1.53677526E+00  2.23462966E+01  4.50832617E+00  2.94128893E-01  4.09417079E-01  1.77854175E+01  4.60702914E+05  2.75841247E-01 -1.11382930E-02 -2.80325886E-02   5.00000000E-01  2.50000000E-01  1.56250000E-01  9.37500000E-02        4       8      20      48 |   0.00E+00  0.00E+00  3.69E+04  1.00E+01  1.91E+17  0.00E+00
