it global_time dt rho m1 m2 e r_e test D v1 v2 p Trad Tgas Mdot OPAL CAK CAK2 lambda Edd Gamma Lum F1 F2 gradE c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
  195685  1.50000000E+01  6.46740689E-05   4.03510412E-03  1.21814883E-03 -1.23223441E-03  1.14148216E-03  4.26918412E-03  0.00000000E+00  7.88073312E+01  3.00245830E+00 -5.14185245E-02  7.82286952E-06  1.03202732E+05  1.03217141E+05  3.27349655E-05  1.55944854E+00  2.66340150E+01  6.12406896E+00  2.98700167E-01  4.01482636E-01  2.30928677E+01  4.85368010E+05  2.93913952E-01  3.28086172E-03 -1.94708273E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.24E+04  4.22E+01  1.29E+03  1.79E+00
  203953  1.55000000E+01  4.87661472E-05   4.08716627E-03  1.50318731E-03 -1.30336934E-03  1.19673925E-03  5.13138788E-03  0.00000000E+00  7.34517999E+01  2.66485264E+00 -1.71399632E-01  7.75274103E-06  1.11790026E+05  1.11811997E+05  3.60031458E-05  1.63455077E+00  2.51280584E+01  5.55503720E+00  3.01432154E-01  3.96200009E-01  3.15238936E+01  6.67634713E+05  3.38490667E-01 -1.25171009E-03 -1.56936657E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.14E+04  4.22E+01  1.77E+03  2.21E+00
  211128  1.60000000E+01  5.40461995E-05   4.99985704E-03  1.42435348E-03 -2.08168254E-03  1.60667996E-03  5.40384206E-03  0.00000000E+00  6.67574361E+01  2.87929454E+00 -1.64712761E-01  1.05404534E-05  1.09015907E+05  1.09058893E+05  4.10788369E-05  1.58607252E+00  2.72043132E+01  5.91166947E+00  3.02733134E-01  3.92604999E-01  2.73580801E+01  5.88892083E+05  3.98870347E-01  1.36913728E-02 -2.41137080E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.46E+04  4.22E+01  1.45E+03  1.61E+00
  219848  1.65000000E+01  4.75936005E-05   5.36573982E-03  1.90216346E-03 -3.65905721E-03  2.66128725E-03  4.22151087E-03  0.00000000E+00  5.67743479E+01  2.65322278E+00 -1.25464934E-01  1.04902405E-05  1.02369554E+05  1.02377696E+05  4.58469513E-05  1.57347181E+00  2.46208848E+01  5.71971761E+00  3.08429715E-01  3.80686623E-01  1.78506510E+01  3.98170697E+05  2.43127016E-01  1.68479419E-02 -1.68446012E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.75E+04  4.22E+01  2.07E+03  2.01E+00
  226854  1.70000000E+01  1.10053293E-04   6.17702212E-03  1.24620825E-03 -3.66172630E-03  2.00262269E-03  4.61550081E-03  0.00000000E+00  6.20686064E+01  2.26730766E+00 -1.64936610E-01  1.31250338E-05  9.90751918E+04  9.90890954E+04  3.10261557E-05  1.55304835E+00  2.18592625E+01  5.11338845E+00  3.04468046E-01  3.88963700E-01  1.50087960E+01  4.10292874E+05  3.07277226E-01  5.00676810E-02 -2.91574654E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  2.60E+04  4.22E+01  9.45E+02  7.87E-01
  232119  1.75000000E+01  1.11576819E-04   6.26950345E-03  1.19168692E-03 -3.42719249E-03  1.88229830E-03  4.15191880E-03  0.00000000E+00  5.77584881E+01  2.27093920E+00 -1.76861202E-01  1.25528223E-05  9.81032356E+04  9.82573808E+04  3.39841237E-05  1.54776212E+00  2.16915615E+01  4.82741011E+00  3.06929966E-01  3.83637195E-01  1.26099921E+01  3.41642516E+05  2.35342142E-01 -7.07173941E-03 -2.41201974E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.53E+04  4.22E+01  6.86E+02  4.76E-01
  237453  1.80000000E+01  1.17673291E-04   5.73758878E-03  1.40354188E-03 -3.18966178E-03  1.94685184E-03  4.33860715E-03  0.00000000E+00  6.08164595E+01  2.39780461E+00 -1.80349294E-01  1.08534820E-05  1.04791680E+05  1.04791834E+05  3.71446866E-05  1.63008199E+00  2.30342747E+01  5.03134239E+00  3.09142109E-01  3.78652647E-01  1.88170453E+01  4.66773216E+05  2.79071935E-01  1.77374461E-03 -1.60699525E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.68E+04  4.22E+01  6.25E+02  3.47E-01
  243954  1.85000000E+01  6.28402452E-05   6.20512300E-03  1.23439469E-03 -3.50599772E-03  1.99976247E-03  4.26249614E-03  0.00000000E+00  7.11632389E+01  2.58528004E+00 -1.63412584E-01  1.27991628E-05  1.00224764E+05  1.00249384E+05  3.65832490E-05  1.57758567E+00  2.39827367E+01  5.79238407E+00  3.02132191E-01  3.94751282E-01  1.72033706E+01  3.98612843E+05  2.50011664E-01 -1.31674668E-02 -2.18044786E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.56E+04  4.22E+01  1.21E+03  5.03E-01
  251067  1.90000000E+01  7.59261743E-05   5.58949018E-03  1.55856502E-03 -3.44409600E-03  2.34241440E-03  4.60643720E-03  0.00000000E+00  6.14120032E+01  2.46888574E+00 -2.31926126E-01  1.04865038E-05  1.07686916E+05  1.07717054E+05  4.19338856E-05  1.63433582E+00  2.35606816E+01  5.31265111E+00  3.08699512E-01  3.80120628E-01  2.00203917E+01  4.60619241E+05  2.44532316E-01  2.23199077E-02 -1.39862120E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.13E+04  4.22E+01  1.14E+03  3.16E-01
  259048  1.95000000E+01  6.72017648E-05   5.58108272E-03  1.92722161E-03 -3.69759695E-03  2.50542160E-03  5.02504948E-03  0.00000000E+00  6.59652741E+01  2.56255585E+00 -1.85600615E-01  1.02644020E-05  1.11197817E+05  1.11228767E+05  4.74621432E-05  1.67128237E+00  2.39114926E+01  5.13678076E+00  3.04315421E-01  3.89739167E-01  2.67108257E+01  5.78084761E+05  2.79043066E-01  3.16025086E-02 -1.32194238E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.14E+04  4.22E+01  1.28E+03  1.78E-01
  267114  2.00000000E+01  0.00000000E+00   5.59098498E-03  1.80315238E-03 -3.15296518E-03  2.09414828E-03  7.63255246E-03  0.00000000E+00  5.32924835E+01  2.27154409E+00 -1.99718802E-01  1.21029238E-05  1.16099974E+05  1.16132200E+05  4.72387482E-05  1.61744627E+00  2.03327241E+01  4.10323051E+00  3.10523153E-01  3.76060355E-01  2.28443321E+01  6.59352413E+05  4.61883975E-01  2.33060129E-02 -2.41909705E-02   4.37500000E-01  2.81250000E-01  1.87500000E-01  9.37500000E-02       14      36      96     192 |   0.00E+00  0.00E+00  3.35E+04  4.22E+01  2.94E+18  0.00E+00
